region_name,date,spi
Diana,2024-01-01,-0.17
Diana,2024-02-01,-0.39
Diana,2024-03-01,0.57
Diana,2024-04-01,0.13
Diana,2024-05-01,0.74
Diana,2024-06-01,-1.18
Diana,2024-07-01,-1.5
Diana,2024-08-01,
Diana,2024-09-01,-3.17
Diana,2024-10-01,-1.72
Diana,2024-11-01,0.36
Diana,2024-12-01,-0.67
Sava,2024-01-01,0.72
Sava,2024-02-01,0.35
Sava,2024-03-01,3.41
Sava,2024-04-01,03.04
Sava,2024-05-01,3.63
Sava,2024-06-01,01.09
Sava,2024-07-01,-0.11
Sava,2024-08-01,-2.48
Sava,2024-09-01,-2.62
Sava,2024-10-01,-2.77
Sava,2024-11-01,-0.77
Sava,2024-12-01,-0.69
Sofia,2024-01-01,0.75
Sofia,2024-02-01,0.35
Sofia,2024-03-01,2.1
Sofia,2024-04-01,1.21
Sofia,2024-05-01,2.11
Sofia,2024-06-01,0.12
Sofia,2024-07-01,-1.12
Sofia,2024-08-01,
Sofia,2024-09-01,
Sofia,2024-10-01,
Sofia,2024-11-01,-0.36
Sofia,2024-12-01,-0.55
Analanjirofo,2024-01-01,-0.08
Analanjirofo,2024-02-01,-0.08
Analanjirofo,2024-03-01,02.02
Analanjirofo,2024-04-01,1.85
Analanjirofo,2024-05-01,2.63
Analanjirofo,2024-06-01,0.29
Analanjirofo,2024-07-01,-1.69
Analanjirofo,2024-08-01,-4.51
Analanjirofo,2024-09-01,-3.61
Analanjirofo,2024-10-01,-3.32
Analanjirofo,2024-11-01,-0.75
Analanjirofo,2024-12-01,-0.33
Boeny,2024-01-01,-0.69
Boeny,2024-02-01,-1.23
Boeny,2024-03-01,-1.01
Boeny,2024-04-01,-1.09
Boeny,2024-05-01,-0.79
Boeny,2024-06-01,-0.44
Boeny,2024-07-01,
Boeny,2024-08-01,
Boeny,2024-09-01,
Boeny,2024-10-01,-2.41
Boeny,2024-11-01,1.28
Boeny,2024-12-01,0.33
Betsiboka,2024-01-01,-1.07
Betsiboka,2024-02-01,-2.02
Betsiboka,2024-03-01,-1.66
Betsiboka,2024-04-01,-1.43
Betsiboka,2024-05-01,-0.69
Betsiboka,2024-06-01,-1.3
Betsiboka,2024-07-01,-1.83
Betsiboka,2024-08-01,-1.83
Betsiboka,2024-09-01,
Betsiboka,2024-10-01,
Betsiboka,2024-11-01,-1.6
Betsiboka,2024-12-01,-2.3
Alaotra-Mangoro,2024-01-01,-1.21
Alaotra-Mangoro,2024-02-01,-1.71
Alaotra-Mangoro,2024-03-01,-0.42
Alaotra-Mangoro,2024-04-01,0.02
Alaotra-Mangoro,2024-05-01,
Alaotra-Mangoro,2024-06-01,-2.27
Alaotra-Mangoro,2024-07-01,-4.72
Alaotra-Mangoro,2024-08-01,-6.51
Alaotra-Mangoro,2024-09-01,-6.99
Alaotra-Mangoro,2024-10-01,-4.79
Alaotra-Mangoro,2024-11-01,-3.48
Alaotra-Mangoro,2024-12-01,-2.55
Analamanga,2024-01-01,-0.87
Analamanga,2024-02-01,-0.85
Analamanga,2024-03-01,-0.94
Analamanga,2024-04-01,-1.43
Analamanga,2024-05-01,-2.34
Analamanga,2024-06-01,-3.81
Analamanga,2024-07-01,
Analamanga,2024-08-01,
Analamanga,2024-09-01,
Analamanga,2024-10-01,-2.25
Analamanga,2024-11-01,-1.82
Analamanga,2024-12-01,-3.39
Bongolava,2024-01-01,-0.55
Bongolava,2024-02-01,-0.62
Bongolava,2024-03-01,-0.81
Bongolava,2024-04-01,-1.37
Bongolava,2024-05-01,-2.28
Bongolava,2024-06-01,-2.74
Bongolava,2024-07-01,-1.83
Bongolava,2024-08-01,
Bongolava,2024-09-01,-1.33
Bongolava,2024-10-01,-1.5
Bongolava,2024-11-01,-0.93
Bongolava,2024-12-01,-2.15
Itasy,2024-01-01,-0.55
Itasy,2024-02-01,-0.62
Itasy,2024-03-01,-0.81
Itasy,2024-04-01,-1.37
Itasy,2024-05-01,-2.28
Itasy,2024-06-01,-2.74
Itasy,2024-07-01,-1.83
Itasy,2024-08-01,
Itasy,2024-09-01,-1.33
Itasy,2024-10-01,-1.5
Itasy,2024-11-01,-0.93
Itasy,2024-12-01,-2.15
Melaky,2024-01-01,-0.82
Melaky,2024-02-01,-0.79
Melaky,2024-03-01,-0.66
Melaky,2024-04-01,-0.79
Melaky,2024-05-01,-1.14
Melaky,2024-06-01,-1.34
Melaky,2024-07-01,-0.75
Melaky,2024-08-01,-1.61
Melaky,2024-09-01,-1.64
Melaky,2024-10-01,-1.43
Melaky,2024-11-01,-0.76
Melaky,2024-12-01,-0.63
Vakinankaratra,2024-01-01,0.16
Vakinankaratra,2024-02-01,0.05
Vakinankaratra,2024-03-01,-0.17
Vakinankaratra,2024-04-01,-0.69
Vakinankaratra,2024-05-01,-1.51
Vakinankaratra,2024-06-01,-1.1
Vakinankaratra,2024-07-01,-0.56
Vakinankaratra,2024-08-01,-0.85
Vakinankaratra,2024-09-01,0.28
Vakinankaratra,2024-10-01,-0.46
Vakinankaratra,2024-11-01,0.32
Vakinankaratra,2024-12-01,-0.36
Atsinanana,2024-01-01,-1.06
Atsinanana,2024-02-01,-0.81
Atsinanana,2024-03-01,0.06
Atsinanana,2024-04-01,0.2
Atsinanana,2024-05-01,-0.31
Atsinanana,2024-06-01,-1.74
Atsinanana,2024-07-01,-2.74
Atsinanana,2024-08-01,-3.43
Atsinanana,2024-09-01,-3.55
Atsinanana,2024-10-01,-2.41
